file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\segment\column\ValueTypes.java,org.apache.druid.segment.column.ValueTypes,class,14,16,2,14,10,1,0,1,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,0,0,1,0,0,1,0,1,0,0,0,23,1,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\query\DirectQueryProcessingPool.java,org.apache.druid.query.DirectQueryProcessingPool,class,8,9,1,8,3,2,0,3,3,1.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,22,1,0
E:\Git_Projects\druid\server\src\main\java\org\apache\druid\discovery\BrokerClient.java,org.apache.druid.discovery.BrokerClient,class,15,15,0,15,10,1,0,21,0,0.5,0.6666667,1.0,4,0,3,1,0,0,3,0,0,0,3,1,0,3,0,0,3,0,3,45,6,0,2,1,0,6,1,7,0,8,2,0,0,2,79,1,0
E:\Git_Projects\druid\indexing-service\src\test\java\org\apache\druid\indexing\overlord\TaskLifecycleTest.java,org.apache.druid.indexing.overlord.TaskLifecycleTest$MockExceptionInputSource$Anonymous2$Anonymous3,anonymous,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,-1,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\java\util\common\guava\SimpleSequence.java,org.apache.druid.java.util.common.guava.SimpleSequence$Anonymous1,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
E:\Git_Projects\druid\extensions-core\multi-stage-query\src\main\java\org\apache\druid\msq\exec\ControllerImpl.java,org.apache.druid.msq.exec.ControllerImpl$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\segment\data\IndexedIterable.java,org.apache.druid.segment.data.IndexedIterable$Anonymous1,anonymous,3,3,0,3,5,1,0,3,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,15,2,0,0,0,0,0,1,1,0,1,1,0,0,0,13,-1,0
E:\Git_Projects\druid\server\src\test\java\org\apache\druid\server\coordinator\CreateDataSegments.java,org.apache.druid.server.coordinator.CreateDataSegments,class,7,19,12,7,11,2,0,6,5,0.7142858,0.4,1.0,7,1,6,1,0,0,6,0,0,0,6,1,0,6,0,0,2,0,2,59,6,2,0,0,0,1,7,20,1,13,2,0,1,0,57,1,0
E:\Git_Projects\druid\extensions-core\multi-stage-query\src\main\java\org\apache\druid\msq\exec\ControllerImpl.java,org.apache.druid.msq.exec.ControllerImpl$Anonymous1,anonymous,2,2,0,2,3,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18,-1,1
E:\Git_Projects\druid\server\src\test\java\org\apache\druid\server\initialization\JettyWithResponseFilterEnabledTest.java,org.apache.druid.server.initialization.JettyWithResponseFilterEnabledTest,class,2,2,0,2,2,3,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,1,0
E:\Git_Projects\druid\processing\src\main\java\org\apache\druid\timeline\partition\SingleDimensionPartialShardSpec.java,org.apache.druid.timeline.partition.SingleDimensionPartialShardSpec,class,8,9,1,8,15,1,0,3,0,0.53999996,0.53333336,0.8,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,5,0,4,48,11,0,5,0,0,5,0,6,0,6,1,0,0,0,32,1,0
E:\Git_Projects\druid\extensions-core\multi-stage-query\src\main\java\org\apache\druid\msq\indexing\processor\SegmentGeneratorFrameProcessor.java,org.apache.druid.msq.indexing.processor.SegmentGeneratorFrameProcessor$MSQInputRow,innerclass,6,6,0,6,12,1,0,10,25,0.65,0.16666667,0.16666667,10,0,9,1,0,0,9,0,0,0,2,0,0,2,0,0,2,0,2,45,10,0,0,0,0,3,3,3,2,3,1,0,0,0,36,2,0
E:\Git_Projects\druid\server\src\main\java\org\apache\druid\indexing\overlord\DataSourceMetadata.java,org.apache.druid.indexing.overlord.DataSourceMetadata,interface,5,11,6,5,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,1,0
E:\Git_Projects\druid\server\src\main\java\org\apache\druid\curator\discovery\ServerDiscoverySelector.java,org.apache.druid.curator.discovery.ServerDiscoverySelector,class,10,13,3,10,8,1,0,9,0,0.4,1.0,1.0,5,0,5,0,0,0,5,0,0,0,4,2,0,4,0,0,4,0,1,70,5,0,1,2,0,3,0,5,0,5,1,1,0,0,33,1,3
